Date,Price,Net_Score_Avg,Gross_Score_Avg,Net_Score_BD1,Net_Score_BD2,Score_Delta,Tier,D1_ReturnRank,D2_VolumeRank,D3_RSI,D4_MA,D5_Volatility,D6_External,D6_Raw,Penalty_Scaled,WP_Return_Pct,WP_Volume_Pct,RSI_Value,MA50,MA200,Golden_Cross,Volatility_Pct,Penalty_Total,Warning_Flags
2025-03-13,2984.3,81.84,81.84,79.34,84.35,5.01,Strong ↑,70.84,60.26,100,100,100,75.0,5,0.0,70.84,60.26,56.77,2822.4,2603.97,True,15.91,0,None
2025-03-14,2994.5,82.83,82.83,82.04,83.62,1.58,Strong ↑,66.71,60.02,100,100,100,75.0,5,0.0,66.71,60.02,56.76,2829.71,2607.17,True,15.84,0,None
2025-03-17,3000.0,80.68,80.68,77.78,83.59,5.81,Strong ↑,66.99,59.54,100,100,100,75.0,5,0.0,66.99,59.54,65.57,2836.53,2610.47,True,14.78,0,None
2025-03-18,3035.1,81.74,81.74,77.89,85.6,7.71,Strong ↑,79.66,58.94,100,100,100,75.0,5,0.0,79.66,58.94,67.95,2844.33,2613.93,True,14.25,0,None
2025-03-19,3035.9,78.41,78.41,78.23,78.6,0.38,Strong ↑,78.57,58.05,70,100,100,65.0,3,0.0,78.57,58.05,75.73,2852.28,2617.49,True,14.1,0,None
2025-03-20,3040.0,79.65,79.65,84.35,74.96,-9.39,Strong ↑,78.37,56.39,50,100,100,65.0,3,0.0,78.37,56.39,89.94,2859.95,2620.96,True,13.98,0,None
2025-03-21,3018.2,79.71,79.71,83.62,75.8,-7.83,Strong ↑,66.24,53.55,70,100,100,65.0,3,0.0,66.24,53.55,78.73,2867.02,2624.42,True,14.3,0,None
2025-03-24,3013.1,79.26,79.26,83.59,74.92,-8.67,Strong ↑,61.39,53.15,70,100,100,65.0,3,0.0,61.39,53.15,74.82,2873.61,2627.72,True,14.31,0,None
2025-03-25,3023.7,80.2,80.2,85.6,74.81,-10.79,Strong ↑,61.43,52.41,70,100,100,65.0,3,0.0,61.43,52.41,75.4,2879.91,2630.98,True,13.11,0,None
2025-03-26,3020.9,76.69,76.69,78.6,74.77,-3.83,Strong ↑,61.81,51.81,70,100,100,65.0,3,0.0,61.81,51.81,74.27,2886.86,2634.56,True,13.12,0,None
