Date,Price,Buy_Score,Sell_Score,Net_Bias,Bias_Tier,Combined_Signal,Buy_Tier,Sell_Tier,Buy_Delta,Sell_Delta,Scenario_Num,Scenario_Signal,Scenario_Action,Scenario_Zone,Buy_D1,Sell_D1,Buy_D2,Sell_D2,Buy_D3,Sell_D3,Buy_D4,Sell_D4,Buy_D5,Sell_D5,Buy_D6,Sell_D6,Pivot_PP,Pivot_R1,Pivot_S1
2025-03-13,2984.3,81.84,14.87,66.98,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,5.01,-5.77,3,Bullish Accumulation,BUY,BULLISH,70.84,29.16,60.26,10.0,100,40,100,0,100,5,75.0,15.0,2969.17,3003.13,2950.33
2025-03-14,2994.5,82.83,13.44,69.39,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,1.58,-1.55,4,Support Bounce,BUY,BULLISH,66.71,33.29,60.02,10.0,100,40,100,0,100,5,75.0,15.0,2995.1,3004.2,2985.4
2025-03-17,3000.0,80.68,14.21,66.48,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,5.81,-9.83,3,Bullish Accumulation,BUY,BULLISH,66.99,33.01,59.54,10.0,100,20,100,0,100,5,75.0,15.0,2996.83,3004.67,2992.17
2025-03-18,3035.1,81.74,13.01,68.73,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,7.71,-11.67,3,Bullish Accumulation,BUY,BULLISH,79.66,20.34,58.94,10.0,100,20,100,0,100,5,75.0,15.0,3026.23,3048.07,3013.27
2025-03-19,3035.9,78.41,14.93,63.49,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,0.38,-6.8,4,Support Bounce,BUY,BULLISH,78.57,21.43,58.05,10.0,70,50,100,0,100,5,65.0,10.0,3039.23,3047.57,3027.57
2025-03-20,3040.0,79.65,13.02,66.63,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-9.39,2.08,4,Support Bounce,BUY,BULLISH,78.37,21.63,56.39,10.0,50,65,100,0,100,5,65.0,10.0,3040.57,3046.73,3033.83
2025-03-21,3018.2,79.71,13.13,66.58,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-7.83,0.91,4,Support Bounce,BUY,BULLISH,66.24,33.76,53.55,10.0,70,50,100,0,100,5,65.0,10.0,3018.87,3036.83,3000.23
2025-03-24,3013.1,79.26,11.84,67.42,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-8.67,5.1,4,Support Bounce,BUY,BULLISH,61.39,38.61,53.15,10.0,70,50,100,0,100,5,65.0,10.0,3014.47,3022.93,3004.63
2025-03-25,3023.7,80.2,10.78,69.42,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-10.79,7.2,4,Support Bounce,BUY,BULLISH,61.43,38.57,52.41,10.0,70,50,100,0,100,5,65.0,10.0,3025.4,3027.1,3022.0
2025-03-26,3020.9,76.69,12.92,63.76,Strong Bullish ↑↑,Bullish Dominant,Strong ↑,No Sell Signal,-3.83,2.79,4,Support Bounce,BUY,BULLISH,61.81,38.19,51.81,10.0,70,50,100,0,100,5,65.0,10.0,3024.53,3029.57,3015.87
