Date,Price,Net_Score_Avg,Gross_Score_Avg,Net_Score_BD1,Net_Score_BD2,Score_Delta,Tier,D1_ReturnRank,D2_VolumeRank,D3_RSI,D4_MA,D5_Volatility,D6_External,D6_Raw,Penalty_Scaled,WP_Return_Pct,WP_Volume_Pct,RSI_Value,MA50,MA200,Death_Cross,Volatility_Pct,Penalty_Total,Warning_Flags
2025-03-13,2984.3,14.87,19.41,17.75,11.98,-5.77,No Sell Signal,29.16,10.0,40,0,5,15.0,-7,-4.55,70.84,60.26,56.77,2822.4,2603.97,False,15.91,-5,Golden Cross
2025-03-14,2994.5,13.44,17.99,14.22,12.67,-1.55,No Sell Signal,33.29,10.0,40,0,5,15.0,-7,-4.55,66.71,60.02,56.76,2829.71,2607.17,False,15.84,-5,Golden Cross
2025-03-17,3000.0,14.21,18.75,19.12,9.29,-9.83,No Sell Signal,33.01,10.0,20,0,5,15.0,-7,-4.55,66.99,59.54,65.57,2836.53,2610.47,False,14.78,-5,Golden Cross
2025-03-18,3035.1,13.01,17.56,18.85,7.18,-11.67,No Sell Signal,20.34,10.0,20,0,5,15.0,-7,-4.55,79.66,58.94,67.95,2844.33,2613.93,False,14.25,-5,Golden Cross
2025-03-19,3035.9,14.93,19.47,18.33,11.53,-6.8,No Sell Signal,21.43,10.0,50,0,5,10.0,-8,-4.55,78.57,58.05,75.73,2852.28,2617.49,False,14.1,-5,Golden Cross
2025-03-20,3040.0,13.02,17.57,11.98,14.06,2.08,No Sell Signal,21.63,10.0,65,0,5,10.0,-8,-4.55,78.37,56.39,89.94,2859.95,2620.96,False,13.98,-5,Golden Cross
2025-03-21,3018.2,13.13,17.67,12.67,13.58,0.91,No Sell Signal,33.76,10.0,50,0,5,10.0,-8,-4.55,66.24,53.55,78.73,2867.02,2624.42,False,14.3,-5,Golden Cross
2025-03-24,3013.1,11.84,16.38,9.29,14.39,5.1,No Sell Signal,38.61,10.0,50,0,5,10.0,-8,-4.55,61.39,53.15,74.82,2873.61,2627.72,False,14.31,-5,Golden Cross
2025-03-25,3023.7,10.78,15.33,7.18,14.38,7.2,No Sell Signal,38.57,10.0,50,0,5,10.0,-8,-4.55,61.43,52.41,75.4,2879.91,2630.98,False,13.11,-5,Golden Cross
2025-03-26,3020.9,12.92,17.47,11.53,14.32,2.79,No Sell Signal,38.19,10.0,50,0,5,10.0,-8,-4.55,61.81,51.81,74.27,2886.86,2634.56,False,13.12,-5,Golden Cross
