Date,Open,High,Low,Close,Volume
2026-07-20,4003.4,4018.9,4002.7,4010.3,231
2026-07-21,4002.1,4071.1,3999.7,4071.1,87
2026-07-22,4096.2,4152.1,4096.2,4146.9,133
2026-07-23,4129.9,4130.9,4046.6,4046.6,59
2026-07-24,4067.6,4068.0,4067.6,4067.6,2
2026-07-27,4090.1,4107.9,4072.7,4074.5,36
2026-07-28,4025.7,4036.3,4025.7,4036.3,248
2026-07-29,4018.1,4034.7,4017.9,4034.7,89664
2026-07-30,4060.7,4118.5,4028.5,4100.1,16985
2026-07-31,4102.4,4102.4,4022.4,4049.1,1166
2026-08-03,4083.4,4083.5,4026.5,4033.7,698
2026-08-04,4050.5,4095.4,4048.8,4095.4,426
2026-08-05,4130.0,4262.2,4129.5,4245.8,1349
2026-08-06,4297.0,4297.0,4228.0,4242.0,3101
2026-08-07,4277.0,4371.5,4274.0,4340.7,422
2026-08-10,4336.1,4390.1,4336.1,4361.8,1303
2026-08-11,4408.6,4408.6,4365.1,4383.0,204
2026-08-12,4406.5,4434.0,4406.3,4408.9,660
2026-08-13,4403.5,4445.0,4350.0,4363.6,1491
2026-08-14,4322.1,4397.1,4315.0,4380.4,673
2026-08-17,4394.8,4428.5,4386.5,4417.8,673
2026-08-18,4473.4,4493.1,4406.8,4419.1,104616
