วันที่,ราคาเปิด,ราคาสูงสุด,ราคาต่ำสุด,ราคาปิด,ปริมาณซื้อขาย
2013-01-02,1672.8,1693.8,1670.0,1687.9,35
2013-01-03,1686.1,1686.8,1662.0,1673.7,140
2013-01-04,1647.0,1658.3,1625.7,1648.1,199
2013-01-07,1656.5,1659.9,1643.8,1645.5,49
2013-01-08,1647.7,1661.5,1647.7,1661.5,17
2013-01-09,1658.6,1662.1,1651.9,1654.8,9
2013-01-10,1672.5,1677.3,1672.5,1677.3,9
2013-01-11,1673.1,1673.1,1654.2,1660.0,147
2013-01-14,1665.4,1673.8,1664.1,1668.9,10
2013-01-15,1671.6,1684.3,1671.6,1683.4,20
2013-01-16,1674.4,1682.7,1674.4,1682.7,11
2013-01-17,1676.4,1694.6,1671.0,1690.4,81
2013-01-18,1687.4,1692.0,1686.6,1686.6,14
2013-01-22,1690.3,1694.7,1687.8,1692.8,15
2013-01-23,1691.3,1693.7,1685.2,1686.3,28
2013-01-24,1680.8,1681.7,1668.0,1669.5,13
2013-01-25,1663.0,1663.0,1656.4,1656.4,44
2013-01-28,1651.6,1655.5,1651.6,1652.4,82
2013-01-29,1661.2,1661.5,1660.7,1660.7,145863
2013-01-30,1662.4,1683.0,1661.8,1679.9,44893
2013-01-31,1675.4,1680.0,1657.4,1660.6,6044
2013-02-01,1663.9,1681.2,1659.9,1669.4,3250
2013-02-04,1668.0,1676.5,1661.6,1675.3,450
2013-02-05,1674.2,1683.4,1666.5,1672.4,353
2013-02-06,1672.2,1678.5,1668.0,1677.7,376
2013-02-07,1677.0,1682.1,1663.1,1670.4,475
2013-02-08,1671.5,1672.5,1664.8,1666.0,289
2013-02-11,1666.5,1668.0,1643.7,1648.2,868
2013-02-12,1643.8,1650.4,1642.4,1648.7,85
2013-02-13,1652.2,1652.3,1640.2,1644.2,236
2013-02-14,1641.1,1646.9,1632.7,1634.7,219
2013-02-15,1633.2,1633.9,1599.5,1608.8,460
2013-02-19,1610.0,1617.0,1599.7,1603.6,272
2013-02-20,1604.7,1606.9,1561.8,1577.6,278
2013-02-21,1568.5,1581.2,1555.2,1578.2,2019
2013-02-22,1580.0,1585.4,1572.4,1572.4,76
2013-02-25,1579.4,1596.0,1577.7,1586.2,118
2013-02-26,1593.3,1615.2,1589.0,1615.2,1158
2013-02-27,1612.8,1612.8,1591.8,1595.2,700
2013-02-28,1596.0,1601.6,1575.1,1577.7,102
2013-03-01,1579.6,1585.6,1566.0,1571.9,68
2013-03-04,1580.8,1580.8,1569.7,1572.1,64
2013-03-05,1577.6,1585.5,1571.4,1574.6,65
2013-03-06,1577.6,1582.6,1566.8,1574.6,106
2013-03-07,1580.0,1583.5,1573.9,1574.8,52
2013-03-08,1578.6,1581.2,1561.8,1576.6,68
2013-03-11,1576.0,1579.7,1576.0,1577.8,1115
2013-03-12,1579.8,1595.6,1579.8,1591.5,159
2013-03-13,1592.3,1596.0,1585.0,1588.3,396
2013-03-14,1585.7,1590.6,1575.7,1590.6,137
2013-03-15,1590.5,1594.4,1590.2,1592.5,11
2013-03-18,1605.9,1607.7,1601.6,1604.6,613
2013-03-19,1613.1,1613.1,1611.3,1611.3,202
2013-03-20,1610.0,1612.5,1606.2,1607.5,5
2013-03-21,1612.8,1613.8,1611.9,1613.8,7
2013-03-22,1611.0,1611.0,1604.1,1606.2,101
2013-03-25,1607.1,1607.8,1596.1,1604.6,27
2013-03-26,1595.8,1595.8,1595.8,1595.8,165484
2013-03-27,1598.5,1608.1,1590.3,1606.2,50450
2013-03-28,1604.7,1606.6,1593.6,1594.8,4717
2013-04-01,1596.8,1600.5,1594.8,1600.0,688
