วันที่,ราคาเปิด,ราคาสูงสุด,ราคาต่ำสุด,ราคาปิด,ปริมาณซื้อขาย
2023-10-19 00:00:00,1958.0,1964.6,1957.0,1961.0,15854
2023-10-19 04:00:00,1960.9,1966.6,1959.5,1963.9,22336
2023-10-19 08:00:00,1963.9,1972.2,1961.4,1968.0,85608
2023-10-19 12:00:00,1968.1,1990.2,1963.8,1986.8,103261
2023-10-19 16:00:00,1986.9,1994.3,1984.4,1989.0,10801
2023-10-19 20:00:00,1988.9,1993.8,1983.7,1989.6,22382
2023-10-20 00:00:00,1989.6,1993.8,1985.9,1991.9,22921
2023-10-20 04:00:00,1991.9,1997.6,1987.8,1989.1,37182
2023-10-20 08:00:00,1989.0,2009.2,1984.7,2003.3,113016
2023-10-20 12:00:00,2003.4,2004.4,1985.6,1991.5,68585
2023-10-20 16:00:00,1991.4,1993.9,1990.7,1993.1,2677
2023-10-22 16:00:00,1987.7,1989.9,1971.0,1982.8,8093
2023-10-22 20:00:00,1982.7,1986.3,1975.5,1984.9,22187
2023-10-23 00:00:00,1984.9,1991.3,1984.1,1991.0,19099
2023-10-23 04:00:00,1990.9,1994.3,1986.6,1990.9,25392
2023-10-23 08:00:00,1990.8,1993.4,1981.3,1986.6,85697
2023-10-23 12:00:00,1986.6,1990.9,1982.6,1984.8,39711
2023-10-23 16:00:00,1984.8,1985.2,1982.6,1984.6,4786
2023-10-23 20:00:00,1984.7,1992.0,1983.6,1987.9,17814
2023-10-24 00:00:00,1987.8,1990.3,1985.4,1986.5,14899
2023-10-24 04:00:00,1986.6,1987.1,1964.6,1974.7,52182
2023-10-24 08:00:00,1974.7,1981.5,1970.0,1981.1,66975
2023-10-24 12:00:00,1981.1,1989.0,1980.2,1984.0,34988
2023-10-24 16:00:00,1984.0,1984.5,1981.2,1983.7,3769
2023-10-24 20:00:00,1983.8,1987.9,1981.6,1983.6,14854
2023-10-25 00:00:00,1983.8,1986.9,1979.2,1982.2,19442
2023-10-25 04:00:00,1982.2,1987.6,1980.2,1985.8,23146
2023-10-25 08:00:00,1985.8,1998.6,1973.6,1992.4,133157
2023-10-25 12:00:00,1992.3,1997.2,1987.4,1992.0,38972
2023-10-25 16:00:00,1992.0,1994.6,1988.6,1992.8,7050
2023-10-25 20:00:00,1992.8,1997.4,1992.3,1997.3,14245
2023-10-26 00:00:00,1997.3,2000.5,1994.1,2000.5,25339
2023-10-26 04:00:00,2000.4,2003.7,1992.6,1994.4,31837
2023-10-26 08:00:00,1994.4,1996.7,1981.6,1990.2,88546
2023-10-26 12:00:00,1990.2,1999.7,1989.6,1994.7,39083
2023-10-26 16:00:00,1994.7,1996.8,1993.5,1994.3,4120
2023-10-26 20:00:00,1994.3,1998.5,1992.8,1997.6,11892
2023-10-27 00:00:00,1997.8,1999.8,1995.5,1997.2,14699
2023-10-27 04:00:00,1997.2,1997.9,1989.6,1991.7,19027
2023-10-27 08:00:00,1991.6,1996.2,1986.4,1989.8,80537
2023-10-27 12:00:00,1989.8,2019.7,1989.0,2016.8,73336
2023-10-27 16:00:00,2016.8,2016.9,2014.4,2016.2,4085
2023-10-29 16:00:00,2013.5,2016.7,2007.1,2012.8,11170
2023-10-29 20:00:00,2012.8,2016.8,2011.1,2012.0,12395
2023-10-30 00:00:00,2011.7,2012.3,2002.8,2003.0,17234
2023-10-30 04:00:00,2003.1,2007.0,1999.7,2005.3,26411
2023-10-30 08:00:00,2005.4,2012.4,2001.5,2008.8,78552
2023-10-30 12:00:00,2008.9,2010.5,2004.3,2005.7,29115
2023-10-30 16:00:00,2005.7,2006.6,2003.6,2004.9,3790
2023-10-30 20:00:00,2004.8,2006.5,2001.0,2001.1,10011
2023-10-31 00:00:00,2001.5,2007.0,1999.9,2005.6,11707
2023-10-31 04:00:00,2005.5,2009.7,2004.2,2009.3,18302
2023-10-31 08:00:00,2009.2,2017.7,2001.5,2003.4,101891
2023-10-31 12:00:00,2003.3,2004.0,1987.4,1993.6,59199
2023-10-31 16:00:00,1993.6,1994.8,1991.8,1992.6,3713
2023-10-31 20:00:00,1992.5,1992.9,1985.4,1985.6,13155
2023-11-01 00:00:00,1985.6,1989.5,1983.7,1985.7,12813
2023-11-01 04:00:00,1985.8,1994.2,1985.7,1992.4,17708
2023-11-01 08:00:00,1992.4,2005.9,1986.8,1988.0,79456
2023-11-01 12:00:00,1988.0,1991.3,1978.2,1987.2,60151
2023-11-01 16:00:00,1987.1,1993.9,1985.7,1993.4,8187
2023-11-01 20:00:00,1993.3,1996.0,1991.1,1993.2,12240
2023-11-02 00:00:00,1993.3,1994.4,1991.4,1993.2,13081
2023-11-02 04:00:00,1993.2,1998.3,1992.2,1996.3,17504
2023-11-02 08:00:00,1996.4,1999.2,1986.3,1988.8,75530
2023-11-02 12:00:00,1988.8,1994.4,1986.4,1993.0,25808
2023-11-02 16:00:00,1993.0,1994.1,1991.8,1992.4,2340
2023-11-02 20:00:00,1992.5,1995.4,1990.6,1992.7,8051
2023-11-03 00:00:00,1993.1,1996.8,1992.1,1994.1,11370
2023-11-03 04:00:00,1994.0,1997.6,1993.7,1995.0,16457
2023-11-03 08:00:00,1995.0,2011.9,1989.3,1999.2,141319
2023-11-03 12:00:00,1999.3,2002.6,1996.7,2000.0,30695
2023-11-03 16:00:00,1999.9,2000.3,1999.3,1999.9,1544
2023-11-05 16:00:00,1999.4,2000.1,1994.2,1998.1,5694
2023-11-05 20:00:00,1998.0,2000.0,1988.8,1990.8,15419
2023-11-06 00:00:00,1990.7,1995.0,1989.0,1992.9,16752
2023-11-06 04:00:00,1993.0,1995.4,1990.0,1991.2,20074
2023-11-06 08:00:00,1991.3,1996.3,1986.7,1990.4,62790
2023-11-06 12:00:00,1990.4,1991.5,1984.4,1984.6,19944
2023-11-06 16:00:00,1984.7,1985.8,1982.1,1982.5,3817
2023-11-06 20:00:00,1982.5,1983.3,1977.4,1978.0,20059
2023-11-07 00:00:00,1977.8,1980.8,1972.5,1973.1,27885
2023-11-07 04:00:00,1972.8,1975.5,1963.4,1965.1,40000
2023-11-07 08:00:00,1965.0,1974.0,1962.8,1971.2,68276
2023-11-07 12:00:00,1971.3,1976.6,1968.2,1975.4,37915
2023-11-07 16:00:00,1975.3,1976.4,1974.2,1974.5,3221
2023-11-07 20:00:00,1974.5,1977.5,1973.6,1973.8,7987
2023-11-08 00:00:00,1973.8,1975.3,1971.1,1974.4,12543
2023-11-08 04:00:00,1974.5,1974.6,1965.8,1968.9,22938
2023-11-08 08:00:00,1969.0,1973.0,1956.8,1961.0,80157
2023-11-08 12:00:00,1961.0,1962.9,1953.2,1955.7,39274
2023-11-08 16:00:00,1955.8,1957.4,1954.2,1957.4,6447
2023-11-08 20:00:00,1957.3,1959.8,1952.8,1954.2,14598
2023-11-09 00:00:00,1954.4,1955.6,1948.3,1953.4,20014
2023-11-09 04:00:00,1953.4,1954.7,1950.0,1950.8,21506
2023-11-09 08:00:00,1950.8,1970.4,1949.8,1965.6,77505
