Date,Price,Net_Score,Gross_Score,D1_Return,D2_Volume,D3_RSI,D4_MA,D5_DirVol,D6_External,Vol_Ratio,RSI,Volatility_Pct,Penalty_Scaled,Ret_1W,Ret_1M,Ret_3M,Golden_Cross,Z_Score_50d,Z_Zone,Z_Delta_5d,Warning_Flags,Tier,As_Of_Running,Exhaust_Scenario
2015-01-02,1186.0,47.8,52.34,47.29,56.77,60,0,100,50.0,0.499,34.71,17.94,-4.55,1.07,-1.1,-2.32,False,-0.33,Normal,0.59,💀💀 Death Cross + Below MAs,Neutral →,backfill,
2015-01-05,1203.9,58.28,62.82,53.21,58.73,80,35,100,50.0,0.503,43.66,18.77,-4.55,0.72,-0.38,0.98,False,0.477,Normal,0.587,💀 Death Cross,Neutral →,backfill,
2015-01-06,1219.3,63.06,67.61,62.83,57.81,100,35,100,50.0,0.509,54.22,18.51,-4.55,3.18,0.98,1.04,False,1.175,Normal,1.753,💀 Death Cross,Moderate ↑,backfill,
2015-01-07,1210.6,61.68,66.23,56.83,55.52,100,35,100,50.0,0.471,56.02,18.71,-4.55,0.87,1.72,-0.09,False,0.826,Normal,0.679,💀 Death Cross,Moderate ↑,backfill,
2015-01-08,1208.4,59.45,63.99,58.78,55.18,100,35,85,50.0,0.638,55.02,15.17,-4.55,2.07,1.15,0.26,False,0.763,Normal,1.21,💀 Death Cross,Neutral →,backfill,
2015-01-09,1216.0,58.78,63.33,55.6,54.38,100,35,85,50.0,0.671,57.21,15.36,-4.55,2.53,-1.26,-0.7,False,1.15,Normal,1.48,💀 Death Cross,Neutral →,backfill,
2015-01-12,1232.7,59.61,64.16,62.97,51.97,100,35,85,50.0,0.688,61.27,16.09,-4.55,2.39,0.31,0.96,False,1.908,Normal,1.431,💀 Death Cross,Neutral →,backfill,
2015-01-13,1234.3,59.44,63.99,63.25,50.68,100,35,85,50.0,0.674,68.37,16.05,-4.55,1.23,0.75,0.41,False,1.878,Normal,0.703,💀 Death Cross,Neutral →,backfill,
2015-01-14,1234.4,59.53,64.08,64.66,49.8,100,35,85,50.0,0.682,69.23,15.38,-4.55,1.97,1.01,0.06,False,1.781,Normal,0.955,💀 Death Cross,Neutral →,backfill,
2015-01-15,1264.7,62.35,66.9,75.66,50.72,70,70,85,50.0,0.607,76.39,16.7,-4.55,4.66,4.76,1.66,False,2.806,Extreme Extended,2.043,💀 Death Cross,Moderate ↑,backfill,
2015-01-16,1276.9,63.56,68.1,83.55,50.06,70,70,85,50.0,0.634,75.0,16.83,-4.55,5.01,6.95,2.93,False,2.95,Extreme Extended,1.8,💀 Death Cross,Moderate ↑,backfill,
2015-01-20,1294.2,60.93,65.47,86.67,51.18,50,70,85,50.0,0.667,83.7,17.14,-4.55,4.99,8.36,4.51,False,3.219,Extreme Extended,1.311,💀 Death Cross,Moderate ↑,backfill,
2015-01-21,1293.7,60.76,65.31,87.29,49.56,50,70,85,50.0,0.723,81.4,17.18,-4.55,4.81,8.29,4.0,False,2.934,Extreme Extended,1.057,💀 Death Cross,Moderate ↑,backfill,
2015-01-22,1300.7,61.14,65.68,87.83,51.27,50,70,85,50.0,0.679,91.83,15.95,-4.55,5.37,8.76,3.97,False,2.844,Extreme Extended,1.063,💀 Death Cross,Moderate ↑,backfill,
2015-01-23,1292.6,60.55,65.1,85.32,50.28,50,70,85,50.0,0.636,86.61,16.27,-4.55,2.21,9.57,3.84,False,2.413,Extended,-0.393,💀 Death Cross,Moderate ↑,backfill,
2015-01-26,1279.4,62.76,67.31,79.0,49.84,70,70,85,50.0,0.641,76.79,16.84,-4.55,0.2,8.62,4.14,False,1.922,Normal,-1.027,💀 Death Cross,Moderate ↑,backfill,
2015-01-27,1291.7,62.82,67.36,81.1,48.09,70,70,85,50.0,0.678,76.27,16.16,-4.55,-0.19,10.07,4.91,False,2.139,Extended,-1.08,💀 Death Cross,Moderate ↑,backfill,
2015-01-28,1285.9,67.37,71.92,79.74,76.77,70,70,85,50.0,0.638,77.91,15.5,-4.55,-0.6,7.58,4.62,False,1.881,Normal,-1.053,💀 Death Cross,Moderate ↑,backfill,
2015-01-29,1254.6,66.44,70.99,66.04,84.9,100,70,55,50.0,1.066,64.09,17.8,-4.55,-3.54,6.17,2.07,False,0.989,Normal,-1.856,💀 Death Cross,Moderate ↑,backfill,
