Date,Price,Net_Score,Gross_Score,D1_Return,D2_Volume,D3_RSI,D4_MA,D5_DirVol,D6_External,Vol_Ratio,RSI,Volatility_Pct,Penalty_Scaled,Ret_1W,Ret_1M,Golden_Cross,Z_Score_50d,Z_Zone,Z_Delta_5d,Warning_Flags,Tier,As_Of_Running,Exhaust_Scenario
2024-01-04 08:00,2047.4,35.43,39.97,20.16,29.67,80,30,40,40.0,1.492,43.66,9.6,-4.55,-1.4,-0.56,True,0.793,Normal,,⚠️ Mild Reversal,,backfill,
2024-01-05 09:00,2054.2,61.21,61.21,29.7,32.55,100,65,100,40.0,0.371,57.07,8.37,0.0,-2.04,-2.4,True,0.932,Normal,,,,backfill,
2024-01-08 10:00,2040.9,48.95,48.95,26.45,47.24,80,30,70,40.0,0.903,41.74,17.99,0.0,-1.85,-0.47,True,0.568,Normal,,,,backfill,
2024-01-09 11:00,2037.2,40.18,40.18,20.44,50.63,80,30,20,40.0,1.796,44.13,9.6,0.0,-1.97,-0.32,True,0.45,Normal,,,,backfill,
2024-01-10 12:00,2029.6,43.57,48.12,17.59,51.11,80,0,100,40.0,0.59,42.24,9.13,-4.55,-1.17,-0.81,False,0.231,Normal,,💀💀 Death Cross + Below MAs,,backfill,
2024-01-11 13:00,2021.1,22.53,27.08,13.79,68.66,30,0,10,40.0,5.433,27.22,11.31,-4.55,-1.28,-1.15,False,-0.007,Normal,,💀💀 Death Cross + Below MAs,,backfill,
2024-01-12 14:00,2051.7,68.17,72.72,39.69,71.63,100,70,85,70.0,0.641,64.22,14.41,-4.55,-0.12,2.12,False,0.756,Normal,,💀 Death Cross,,backfill,
2024-01-16 15:00,2031.8,29.4,38.49,22.9,78.06,30,0,20,80.0,1.689,20.73,13.3,-9.09,-0.45,1.52,False,0.222,Normal,,⚠️ Mild Reversal | 💀💀 Death Cross + Below MAs,,backfill,
2024-01-17 16:00,2008.8,32.88,41.98,19.21,82.65,30,0,40,80.0,1.448,27.6,13.62,-9.09,-1.39,0.54,False,-0.38,Normal,,⚠️ Mild Reversal | 💀💀 Death Cross + Below MAs,,backfill,
2024-01-18 18:00,2025.7,32.6,37.15,38.62,69.28,70,0,20,25.0,1.762,75.09,8.9,-4.55,-0.19,-1.35,False,0.045,Normal,,💀💀 Death Cross + Below MAs,,backfill,
2024-01-21 19:00,2030.9,39.57,44.12,41.22,63.5,80,0,55,25.0,1.107,48.07,8.38,-4.55,0.48,-0.72,False,0.161,Normal,,💀💀 Death Cross + Below MAs,,backfill,
