Date,Price,Net_Score,Gross_Score,D1_Return,D2_Volume,D3_RSI,D4_MA,D5_DirVol,D6_External,Vol_Ratio,RSI,Volatility_Pct,Penalty_Scaled,Ret_1W,Ret_1M,Death_Cross,Golden_Cross,Z_Score_50d,Z_Zone,Z_Delta_5d,Warning_Flags,Tier,As_Of_Running,Exhaust_Scenario
2024-01-04 08:00,2047.4,62.48,67.02,79.84,57.28,65,70,70,60.0,1.492,43.66,9.6,-4.55,-1.4,-0.56,False,True,0.793,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 09:00,2046.5,62.15,66.69,78.73,56.43,65,70,70,60.0,1.434,43.46,8.99,-4.55,-1.41,-0.64,False,True,0.769,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 10:00,2052.5,48.03,52.58,69.42,56.05,40,35,55,60.0,1.146,56.46,9.74,-4.55,-1.18,-0.39,False,True,0.919,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 11:00,2052.0,46.16,50.71,72.07,57.19,40,35,40,60.0,0.982,50.8,8.79,-4.55,-1.15,-0.39,False,True,0.905,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 12:00,2050.7,49.71,54.25,67.62,57.89,65,35,40,60.0,0.948,48.09,8.88,-4.55,-1.23,-0.4,False,True,0.871,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 13:00,2050.6,45.6,50.14,67.46,58.39,40,35,40,60.0,0.911,50.6,8.88,-4.55,-1.27,-0.7,False,True,0.867,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 14:00,2051.8,46.46,51.0,71.14,59.87,40,35,40,60.0,0.916,51.38,8.75,-4.55,-1.29,-0.7,False,True,0.896,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 15:00,2050.7,51.11,55.65,73.02,60.9,65,35,40,60.0,0.851,41.48,8.81,-4.55,-1.39,-0.61,False,True,0.866,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 16:00,2051.0,51.08,55.62,71.63,62.1,65,35,40,60.0,0.941,41.99,8.11,-4.55,-1.21,-0.26,False,True,0.873,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 18:00,2051.2,51.3,55.85,71.49,63.61,65,35,40,60.0,0.935,44.0,8.1,-4.55,-1.37,-0.2,False,True,0.876,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 19:00,2051.3,51.46,56.01,72.24,63.81,65,35,40,60.0,0.925,41.12,8.1,-4.55,-1.35,-0.28,False,True,0.877,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 20:00,2052.8,50.89,55.43,69.43,63.15,65,35,40,60.0,0.998,44.74,8.14,-4.55,-1.29,-0.46,False,True,0.914,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 21:00,2052.9,49.29,53.84,69.45,63.58,40,35,55,60.0,1.035,51.24,8.13,-4.55,-1.38,-0.78,False,True,0.915,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 22:00,2052.0,51.53,56.07,72.74,63.71,65,35,40,60.0,0.984,46.77,7.93,-4.55,-1.84,-1.28,False,True,0.89,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-04 23:00,2051.7,44.32,48.86,73.68,64.49,20,35,40,60.0,0.945,64.83,7.94,-4.55,-1.97,-1.71,False,True,0.881,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 00:00,2051.2,44.73,49.28,75.36,65.3,20,35,40,60.0,0.96,66.67,7.87,-4.55,-2.0,-1.94,False,True,0.867,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 01:00,2049.2,55.93,60.47,77.6,65.24,85,35,40,60.0,0.891,33.66,7.99,-4.55,-1.95,-1.81,False,True,0.815,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 02:00,2050.0,52.56,57.1,77.89,64.73,65,35,40,60.0,0.968,40.38,7.52,-4.55,-1.88,-1.93,False,True,0.834,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 03:00,2049.3,52.63,57.17,78.57,64.45,65,35,40,60.0,0.913,42.86,7.52,-4.55,-1.94,-2.03,False,True,0.815,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 04:00,2045.8,62.29,66.84,81.95,64.08,85,70,40,60.0,0.97,31.82,7.92,-4.55,-2.09,-4.25,False,True,0.725,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 05:00,2046.9,62.04,66.58,80.73,63.76,85,70,40,60.0,0.97,31.3,7.9,-4.55,-2.06,-3.25,False,True,0.752,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 06:00,2046.0,62.45,66.99,82.69,64.27,85,70,40,60.0,0.915,31.78,7.91,-4.55,-2.11,-2.93,False,True,0.728,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 07:00,2046.9,62.12,66.67,81.2,63.81,85,70,40,60.0,0.968,34.81,7.73,-4.55,-2.38,-2.91,False,True,0.749,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 08:00,2046.9,60.98,65.52,80.83,57.31,85,70,40,60.0,0.924,33.83,7.68,-4.55,-2.42,-2.78,False,True,0.748,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 09:00,2054.2,40.68,45.22,70.3,56.05,40,35,10,60.0,0.371,57.07,8.37,-4.55,-2.04,-2.4,False,True,0.932,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 10:00,2061.9,36.29,40.83,65.12,54.88,20,35,10,60.0,0.328,67.04,10.01,-4.55,-1.65,-2.08,False,True,1.125,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 11:00,2051.8,50.16,54.7,73.95,54.26,65,35,40,60.0,0.986,48.5,12.04,-4.55,-2.1,-2.11,False,True,0.868,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 12:00,2048.8,50.58,55.13,76.88,53.87,65,35,40,60.0,0.981,45.88,12.24,-4.55,-2.25,-1.64,False,True,0.79,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 13:00,2055.0,45.71,50.25,72.88,53.64,40,35,40,60.0,0.968,53.69,13.11,-4.55,-1.97,-1.64,False,True,0.946,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 14:00,2052.6,46.85,51.4,78.85,54.53,40,35,40,60.0,0.942,51.5,13.25,-4.55,-1.68,-1.78,False,True,0.884,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 15:00,2050.8,46.61,51.16,76.89,55.05,40,35,40,60.0,0.87,51.72,13.29,-4.55,-1.74,-1.76,False,True,0.837,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-05 16:00,2052.7,45.89,50.43,71.56,56.04,40,35,40,60.0,0.939,52.84,13.34,-4.55,-1.65,-1.78,False,True,0.883,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 18:00,2051.1,47.1,51.65,78.01,56.87,40,35,40,60.0,0.886,51.86,13.4,-4.55,-1.64,-1.8,False,True,0.842,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 19:00,2052.5,46.47,51.01,73.52,57.55,40,35,40,60.0,0.908,57.24,13.44,-4.55,-1.62,-1.15,False,True,0.876,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 20:00,2050.2,46.85,51.4,75.64,57.74,40,35,40,60.0,0.868,53.47,13.56,-4.55,-1.58,-0.9,False,True,0.817,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 21:00,2047.8,40.97,45.52,78.12,10.0,40,70,40,35.0,0.805,51.84,13.62,-4.55,-1.96,0.32,False,True,0.755,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 22:00,2042.9,57.98,62.52,83.27,56.88,65,70,40,60.0,0.817,46.23,14.07,-4.55,-2.12,-0.08,False,True,0.63,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-07 23:00,2042.3,58.03,62.57,83.68,56.77,65,70,40,60.0,0.822,45.71,14.07,-4.55,-2.02,-0.1,False,True,0.613,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 00:00,2037.2,61.9,66.44,88.17,55.49,85,70,40,60.0,0.826,33.46,14.51,-4.55,-2.29,-0.28,False,True,0.483,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 01:00,2039.3,64.12,68.66,86.68,55.3,100,70,40,60.0,0.867,25.33,14.66,-4.55,-2.09,-0.5,False,True,0.536,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 02:00,2037.7,61.22,65.76,84.64,54.92,85,70,40,60.0,0.872,31.1,14.64,-4.55,-1.94,-0.37,False,True,0.494,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 03:00,2034.4,61.74,66.29,88.25,54.48,85,70,40,60.0,0.839,30.85,14.76,-4.55,-2.04,-0.67,False,True,0.41,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 04:00,2035.5,63.52,68.07,83.86,54.55,100,70,40,60.0,0.852,20.0,14.82,-4.55,-1.94,-0.82,False,True,0.436,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 05:00,2033.9,63.75,68.29,85.41,54.36,100,70,40,60.0,0.862,20.5,14.66,-4.55,-2.05,-1.03,False,True,0.395,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 06:00,2026.4,64.62,69.17,92.45,52.56,100,70,40,60.0,0.919,17.38,15.54,-4.55,-2.41,-1.33,False,True,0.204,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 07:00,2031.0,63.97,68.51,88.54,52.53,100,70,40,60.0,0.969,22.94,16.09,-4.55,-2.37,-1.06,False,True,0.32,Normal,,✨ Golden Cross (bad for sell),,backfill,
2024-01-08 08:00,2025.2,64.57,69.11,93.28,51.39,100,70,40,60.0,0.981,20.77,16.51,-4.55,-2.54,-1.48,False,True,0.172,Normal,,✨ Golden Cross (bad for sell),,backfill,
