Date,Price,Buy_Score,Sell_Score,Net_Bias,Buy_Delta,Sell_Delta,Scenario_Num,Scenario_Signal,Scenario_Action,Scenario_Zone,Bias_Tier,Buy_Tier,Sell_Tier,Buy_D1,Buy_D2,Buy_D3,Buy_D4,Buy_D5,Buy_D6,Sell_D1,Sell_D2,Sell_D3,Sell_D4,Sell_D5,Sell_D6,RSI,Volatility_Pct,Golden_Cross,Z_Score_50d,Z_Zone,Ret_1W,Ret_1M,Ret_3M,Pivot_PP,Pivot_R1,Pivot_S1
2025-03-13,2984.3,79.35,22.03,57.32,0.0,0.0,2,Bullish but Cooling,HOLD,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,70.84,60.26,100,100,70,75.0,29.44,10.0,40,0,40,40.0,56.77,15.91,True,1.563,Normal,2.32,2.47,10.63,2929.4,2948.8,2919.7
2025-03-14,2994.5,78.62,22.71,55.91,-0.73,0.68,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,66.71,60.02,100,100,70,75.0,33.55,10.0,40,0,40,40.0,56.76,15.84,True,1.607,Normal,3.09,2.94,9.54,2969.17,3003.13,2950.33
2025-03-17,3000.0,78.59,19.33,59.26,-0.03,-3.38,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,66.99,59.54,100,100,70,75.0,33.27,10.0,20,0,40,40.0,65.57,14.78,True,1.598,Normal,3.77,2.53,11.63,2995.1,3004.2,2985.4
2025-03-18,3035.1,78.1,19.73,58.37,-0.49,0.4,2,Bullish but Cooling,HOLD,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,79.66,58.94,100,100,55,75.0,20.65,10.0,20,0,55,40.0,67.95,14.25,True,1.866,Normal,4.2,5.25,14.27,2996.83,3004.67,2992.17
2025-03-19,3035.9,71.1,26.58,44.52,-7.0,6.85,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Weak Sell ↑,78.57,58.05,70,100,55,65.0,21.75,10.0,50,0,55,50.0,75.73,14.1,True,1.811,Normal,3.29,3.56,14.5,3026.23,3048.07,3013.27
2025-03-20,3040.0,67.46,29.11,38.35,-3.64,2.53,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Moderate ↑,Weak Sell ↑,78.37,56.39,50,100,55,65.0,21.94,10.0,65,0,55,50.0,89.94,13.98,True,1.787,Normal,1.87,4.13,14.96,3039.23,3047.57,3027.57
2025-03-21,3018.2,70.8,26.13,44.67,3.34,-2.98,5,Oversold Recovery,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Weak Sell ↑,66.24,53.55,70,100,70,65.0,34.03,10.0,50,0,40,50.0,78.73,14.3,True,1.524,Normal,0.79,2.66,14.48,3040.57,3046.73,3033.83
2025-03-24,3013.1,69.92,26.93,42.99,-0.88,0.8,4,Support Bounce,BUY,BULLISH,Strong Bullish ↑↑,Moderate ↑,Weak Sell ↑,61.39,53.15,70,100,70,65.0,38.85,10.0,50,0,40,50.0,74.82,14.31,True,1.428,Normal,0.44,2.57,16.24,3018.87,3036.83,3000.23
2025-03-25,3023.7,69.81,26.92,42.89,-0.11,-0.01,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Moderate ↑,Weak Sell ↑,61.43,52.41,70,100,70,65.0,38.81,10.0,50,0,40,50.0,75.4,13.11,True,1.483,Normal,-0.38,2.57,15.03,3014.47,3022.93,3004.63
2025-03-26,3020.9,69.77,26.86,42.91,-0.04,-0.06,5,Oversold Recovery,BUY,BULLISH,Strong Bullish ↑↑,Moderate ↑,Weak Sell ↑,61.81,51.81,70,100,70,65.0,38.43,10.0,50,0,40,50.0,74.27,13.12,True,1.422,Normal,-0.49,4.01,15.64,3025.4,3027.1,3022.0
2025-03-27,3060.2,70.38,28.14,42.24,0.61,1.28,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Weak Sell ↑,69.16,68.09,50,100,70,65.0,31.11,10.0,65,0,40,50.0,82.09,12.72,True,1.792,Normal,0.66,4.92,16.8,3024.53,3029.57,3015.87
2025-03-28,3086.5,79.02,23.43,55.59,8.64,-4.71,1,Bullish Breakout,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,76.77,72.37,50,100,100,75.0,23.53,29.31,65,0,10,40.0,88.35,10.77,True,1.993,Normal,2.26,7.05,16.97,3050.23,3074.97,3035.47
2025-03-31,3122.8,80.9,21.62,59.28,1.88,-1.81,1,Bullish Breakout,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,87.45,72.97,50,100,100,75.0,12.9,29.11,65,0,10,40.0,88.97,9.8,True,2.247,Extended,3.64,10.08,19.32,3082.73,3098.67,3070.57
2025-04-01,3118.9,80.54,22.02,58.52,-0.36,0.4,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,84.98,73.27,50,100,100,75.0,15.36,29.01,65,0,10,40.0,86.4,9.9,True,2.094,Extended,3.15,7.91,19.68,3113.77,3141.53,3095.03
2025-04-02,3139.9,80.29,22.31,57.98,-0.25,0.29,3,Bullish Accumulation,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Very Weak Sell ↑↑,83.09,73.67,50,100,100,75.0,17.24,28.88,65,0,10,40.0,84.92,9.94,True,2.184,Extended,3.94,7.92,19.42,3124.13,3144.27,3098.77
2025-04-03,3097.0,77.97,26.24,51.73,-2.32,3.93,5,Oversold Recovery,BUY,BULLISH,Strong Bullish ↑↑,Strong ↑,Weak Sell ↑,69.52,73.33,70,100,70,85.0,30.75,28.99,50,0,40,35.0,70.06,11.59,True,1.677,Normal,1.2,6.23,16.48,3141.97,3166.53,3115.33
