Date,Price,Net_Score,Gross_Score,D1_Return,D2_Volume,D3_RSI,D4_MA,D5_DirVol,D6_External,Vol_Ratio,RSI,Volatility_Pct,Penalty_Scaled,Ret_1W,Ret_1M,Ret_3M,Golden_Cross,Z_Score_50d,Z_Zone,Z_Delta_5d,Warning_Flags,Tier,As_Of_Running,Exhaust_Scenario
2025-03-13,2984.3,22.03,26.57,29.44,10.0,40,0,40,40.0,0.994,56.77,15.91,-4.55,2.32,2.47,10.63,True,1.563,Normal,0.458,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-14,2994.5,22.71,27.26,33.55,10.0,40,0,40,40.0,0.973,56.76,15.84,-4.55,3.09,2.94,9.54,True,1.607,Normal,0.643,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-17,3000.0,19.33,23.88,33.27,10.0,20,0,40,40.0,0.962,65.57,14.78,-4.55,3.77,2.53,11.63,True,1.598,Normal,0.789,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-18,3035.1,19.73,24.28,20.65,10.0,20,0,55,40.0,1.048,67.95,14.25,-4.55,4.2,5.25,14.27,True,1.866,Normal,0.892,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-19,3035.9,26.58,31.12,21.75,10.0,50,0,55,50.0,1.066,75.73,14.1,-4.55,3.29,3.56,14.5,True,1.811,Normal,0.631,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-20,3040.0,29.11,33.66,21.94,10.0,65,0,55,50.0,1.035,89.94,13.98,-4.55,1.87,4.13,14.96,True,1.787,Normal,0.224,✨ Golden Cross (sell penalty),No Sell Signal,backfill,Sell Recovery
2025-03-21,3018.2,26.13,30.67,34.03,10.0,50,0,40,50.0,0.846,78.73,14.3,-4.55,0.79,2.66,14.48,True,1.524,Normal,-0.083,✨ Golden Cross (sell penalty),No Sell Signal,backfill,Sell Recovery
2025-03-24,3013.1,26.93,31.47,38.85,10.0,50,0,40,50.0,0.906,74.82,14.31,-4.55,0.44,2.57,16.24,True,1.428,Normal,-0.17,✨ Golden Cross (sell penalty),No Sell Signal,backfill,Sell Recovery
2025-03-25,3023.7,26.92,31.47,38.81,10.0,50,0,40,50.0,0.88,75.4,13.11,-4.55,-0.38,2.57,15.03,True,1.483,Normal,-0.383,✨ Golden Cross (sell penalty),No Sell Signal,backfill,Sell Recovery
2025-03-26,3020.9,26.86,31.41,38.43,10.0,50,0,40,50.0,0.886,74.27,13.12,-4.55,-0.49,4.01,15.64,True,1.422,Normal,-0.39,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-27,3060.2,28.14,32.69,31.11,10.0,65,0,40,50.0,0.871,82.09,12.72,-4.55,0.66,4.92,16.8,True,1.792,Normal,0.005,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-28,3086.5,23.43,27.97,23.53,29.31,65,0,10,40.0,0.398,88.35,10.77,-4.55,2.26,7.05,16.97,True,1.993,Normal,0.469,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-03-31,3122.8,21.62,26.17,12.9,29.11,65,0,10,40.0,0.462,88.97,9.8,-4.55,3.64,10.08,19.32,True,2.247,Extended,0.819,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-04-01,3118.9,22.02,26.56,15.36,29.01,65,0,10,40.0,0.447,86.4,9.9,-4.55,3.15,7.91,19.68,True,2.094,Extended,0.612,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-04-02,3139.9,22.31,26.85,17.24,28.88,65,0,10,40.0,0.462,84.92,9.94,-4.55,3.94,7.92,19.42,True,2.184,Extended,0.762,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-04-03,3097.0,26.24,30.79,30.75,28.99,50,0,40,35.0,0.89,70.06,11.59,-4.55,1.2,6.23,16.48,True,1.677,Normal,-0.115,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
2025-04-04,3012.0,36.15,40.7,55.2,28.99,40,0,85,35.0,1.901,51.79,15.54,-4.55,-2.41,3.27,13.88,True,0.785,Normal,-1.208,✨ Golden Cross (sell penalty),Weak Sell,backfill,Sell Recovery
2025-04-07,2951.3,48.44,52.99,69.05,28.89,85,0,100,35.0,2.063,38.38,17.2,-4.55,-5.49,1.6,11.86,True,0.123,Normal,-2.124,✨ Golden Cross (sell penalty),Neutral →,backfill,Sell Recovery
2025-04-08,2968.4,44.51,49.05,65.56,28.77,65,0,100,35.0,2.057,41.05,17.12,-4.55,-4.83,2.68,11.73,True,0.27,Normal,-1.825,✨ Golden Cross (sell penalty),Weak Sell,backfill,Sell Recovery
2025-04-09,3056.5,31.85,36.4,44.68,28.7,40,0,70,35.0,1.265,51.79,19.65,-4.55,-2.66,4.93,14.71,True,1.227,Normal,-0.957,✨ Golden Cross (sell penalty),Weak Sell,backfill,Sell Recovery
2025-04-10,3155.2,19.12,23.67,18.73,28.26,20,0,40,35.0,0.987,62.74,21.84,-4.55,1.88,7.35,17.56,True,2.257,Extended,0.581,✨ Golden Cross (sell penalty),No Sell Signal,backfill,
