วันที่,ราคาเปิด,ราคาสูงสุด,ราคาต่ำสุด,ราคาปิด,ปริมาณซื้อขาย
2020-01-02,1.903,1.903,1.851,1.882,0
2020-01-03,1.828,1.84,1.786,1.788,0
2020-01-06,1.785,1.816,1.766,1.811,0
2020-01-07,1.797,1.828,1.797,1.827,0
2020-01-08,1.823,1.876,1.802,1.874,0
2020-01-09,1.869,1.9,1.851,1.858,0
2020-01-10,1.853,1.863,1.816,1.825,0
2020-01-13,1.834,1.858,1.834,1.848,0
2020-01-14,1.842,1.853,1.813,1.818,0
2020-01-15,1.795,1.802,1.78,1.788,0
2020-01-16,1.781,1.82,1.78,1.809,0
2020-01-17,1.818,1.85,1.816,1.836,0
2020-01-21,1.797,1.797,1.766,1.769,0
2020-01-22,1.785,1.785,1.759,1.769,0
2020-01-23,1.74,1.752,1.715,1.74,0
2020-01-24,1.734,1.739,1.67,1.681,0
2020-01-27,1.612,1.627,1.605,1.605,0
2020-01-28,1.624,1.655,1.613,1.641,0
2020-01-29,1.637,1.637,1.589,1.594,0
2020-01-30,1.57,1.587,1.534,1.558,0
2020-01-31,1.55,1.556,1.512,1.52,0
2020-02-03,1.555,1.575,1.515,1.52,0
2020-02-04,1.577,1.618,1.575,1.603,0
2020-02-05,1.653,1.656,1.628,1.649,0
2020-02-06,1.637,1.668,1.637,1.644,0
2020-02-07,1.616,1.635,1.571,1.578,0
2020-02-10,1.57,1.575,1.544,1.547,0
2020-02-11,1.595,1.601,1.573,1.59,0
2020-02-12,1.625,1.639,1.618,1.63,0
2020-02-13,1.602,1.626,1.6,1.617,0
2020-02-14,1.599,1.605,1.573,1.588,0
2020-02-18,1.544,1.576,1.541,1.556,0
2020-02-19,1.563,1.587,1.556,1.57,0
2020-02-20,1.537,1.548,1.507,1.525,0
2020-02-21,1.485,1.492,1.439,1.471,0
2020-02-24,1.396,1.402,1.352,1.377,0
2020-02-25,1.374,1.377,1.307,1.33,0
2020-02-26,1.369,1.381,1.302,1.31,0
2020-02-27,1.272,1.327,1.243,1.299,0
2020-02-28,1.211,1.223,1.127,1.127,0
2020-03-02,1.067,1.103,1.059,1.088,0
